Quarter,Sales,year
Q1,1734.827,1986
Q2,2244.960999,1986
Q3,2533.804993,1986
Q4,2154.962997,1986
Q1,1547.818996,1987
Q2,2104.411995,1987
Q3,2014.362999,1987
Q4,1991.746998,1987
Q1,1869.049999,1988
Q2,2313.631996,1988
Q3,2128.32,1988
Q4,2026.828999,1988
Q1,1910.603996,1989
Q2,2331.164993,1989
Q3,2206.549995,1989
Q4,2173.967995,1989
Q1,2148.278,1990
Q2,2739.307999,1990
Q3,2792.753998,1990
Q4,2556.009995,1990
Q1,2480.973999,1991
Q2,3039.522995,1991
Q3,3172.115997,1991
Q4,2879.000999,1991
Q1,2772,1992
Q2,3550,1992
Q3,3508,1992
Q4,3243.859993,1992
Q1,3056,1993
Q2,3899,1993
Q3,3629,1993
Q4,3373,1993
Q1,3352,1994
Q2,4342,1994
Q3,4461,1994
Q4,4017,1994
Q1,3854,1995
Q2,4936,1995
Q3,4895,1995
Q4,4333,1995
Q1,4194,1996
Q2,5253,1996
